State_Count,Date,State,Active,Deceased,Recovered,State_Name
1,12-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
1,12-Apr-20,AP,15,1,2,Andhra Pradesh
1,12-Apr-20,AR,0,0,0,Arunachal Pradesh
1,12-Apr-20,AS,1,0,0,Assam
1,12-Apr-20,BR,0,0,11,Bihar
1,12-Apr-20,CH,2,0,0,Chandigarh
1,12-Apr-20,CT,6,0,1,Chhattisgarh
1,12-Apr-20,DD,0,0,0,Daman and Diu
1,12-Apr-20,DL,85,5,1,Delhi
1,12-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,12-Apr-20,GA,0,0,0,Goa
1,12-Apr-20,GJ,48,2,0,Gujarat
1,12-Apr-20,HP,0,0,4,Himachal Pradesh
1,12-Apr-20,HR,16,1,8,Haryana
1,12-Apr-20,JH,2,1,0,Jharkhand
1,12-Apr-20,JK,21,0,0,Jammu and Kashmir
1,12-Apr-20,KA,17,0,15,Karnataka
1,12-Apr-20,KL,2,0,36,Kerala
1,12-Apr-20,LA,0,0,0,Ladakh
1,12-Apr-20,LD,0,0,0,Lakshadweep
1,12-Apr-20,MH,221,22,9,Maharashtra
1,12-Apr-20,ML,0,0,0,Meghalaya
1,12-Apr-20,MN,0,0,0,Manipur
1,12-Apr-20,MP,33,3,3,Madhya Pradesh
1,12-Apr-20,MZ,0,0,0,Mizoram
1,12-Apr-20,NL,0,0,0,Nagaland
1,12-Apr-20,OR,0,0,0,Odisha
1,12-Apr-20,PB,12,0,3,Punjab
1,12-Apr-20,PY,0,0,0,Puducherry
1,12-Apr-20,RJ,104,2,5,Rajasthan
1,12-Apr-20,SK,0,0,0,Sikkim
1,12-Apr-20,TG,28,2,7,Telangana
1,12-Apr-20,TN,106,1,6,Tamil Nadu
1,12-Apr-20,TR,0,0,0,Tripura
1,12-Apr-20,TT,758,42,114,Total
1,12-Apr-20,UN,0,0,0,State Unassigned
1,12-Apr-20,UP,31,0,0,Uttar Pradesh
1,12-Apr-20,UT,0,0,0,Uttarakhand
1,12-Apr-20,WB,8,2,3,West Bengal
1,12-Jul-20,AN,7,0,8,Andaman and Nicobar Islands
1,12-Jul-20,AP,1933,19,1019,Andhra Pradesh
1,12-Jul-20,AR,19,0,13,Arunachal Pradesh
1,12-Jul-20,AS,735,4,468,Assam
1,12-Jul-20,BR,1266,7,962,Bihar
1,12-Jul-20,CH,10,0,4,Chandigarh
1,12-Jul-20,CT,184,2,83,Chhattisgarh
1,12-Jul-20,DD,0,0,0,Daman and Diu
1,12-Jul-20,DL,1573,37,2276,Delhi
1,12-Jul-20,DN,16,0,31,Dadra and Nagar Haveli and Daman and Diu
1,12-Jul-20,GA,85,2,59,Goa
1,12-Jul-20,GJ,879,13,513,Gujarat
1,12-Jul-20,HP,31,0,21,Himachal Pradesh
1,12-Jul-20,HR,658,4,589,Haryana
1,12-Jul-20,JH,97,7,52,Jharkhand
1,12-Jul-20,JK,357,10,84,Jammu and Kashmir
1,12-Jul-20,KA,2627,71,693,Karnataka
1,12-Jul-20,KL,435,2,132,Kerala
1,12-Jul-20,LA,9,0,0,Ladakh
1,12-Jul-20,LD,0,0,0,Lakshadweep
1,12-Jul-20,MH,7827,173,3340,Maharashtra
1,12-Jul-20,ML,33,0,0,Meghalaya
1,12-Jul-20,MN,16,0,53,Manipur
1,12-Jul-20,MP,431,9,197,Madhya Pradesh
1,12-Jul-20,MZ,4,0,0,Mizoram
1,12-Jul-20,NL,26,0,14,Nagaland
1,12-Jul-20,OR,595,5,390,Odisha
1,12-Jul-20,PB,234,4,352,Punjab
1,12-Jul-20,PY,81,0,49,Puducherry
1,12-Jul-20,RJ,644,7,234,Rajasthan
1,12-Jul-20,SK,4,0,1,Sikkim
1,12-Jul-20,TG,1269,8,1563,Telangana
1,12-Jul-20,TN,4244,68,3617,Tamil Nadu
1,12-Jul-20,TR,105,0,46,Tripura
1,12-Jul-20,TT,29106,500,18198,Total
1,12-Jul-20,UN,-392,0,0,State Unassigned
1,12-Jul-20,UP,1384,21,645,Uttar Pradesh
1,12-Jul-20,UT,120,1,68,Uttarakhand
1,12-Jul-20,WB,1560,26,622,West Bengal
1,12-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
1,12-Jun-20,AP,207,0,123,Andhra Pradesh
1,12-Jun-20,AR,19,0,0,Arunachal Pradesh
1,12-Jun-20,AS,263,2,152,Assam
1,12-Jun-20,BR,148,1,230,Bihar
1,12-Jun-20,CH,13,0,2,Chandigarh
1,12-Jun-20,CT,47,0,123,Chhattisgarh
1,12-Jun-20,DD,0,0,0,Daman and Diu
1,12-Jun-20,DL,2137,129,667,Delhi
1,12-Jun-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
1,12-Jun-20,GA,46,0,2,Goa
1,12-Jun-20,GJ,495,31,392,Gujarat
1,12-Jun-20,HP,16,0,17,Himachal Pradesh
1,12-Jun-20,HR,366,6,214,Haryana
1,12-Jun-20,JH,57,0,55,Jharkhand
1,12-Jun-20,JK,156,1,266,Jammu and Kashmir
1,12-Jun-20,KA,271,7,464,Karnataka
1,12-Jun-20,KL,78,1,32,Kerala
1,12-Jun-20,LA,104,0,4,Ladakh
1,12-Jun-20,LD,0,0,0,Lakshadweep
1,12-Jun-20,MH,3493,127,1718,Maharashtra
1,12-Jun-20,ML,0,0,4,Meghalaya
1,12-Jun-20,MN,19,0,0,Manipur
1,12-Jun-20,MP,202,9,159,Madhya Pradesh
1,12-Jun-20,MZ,2,0,0,Mizoram
1,12-Jun-20,NL,26,0,28,Nagaland
1,12-Jun-20,OR,112,1,120,Odisha
1,12-Jun-20,PB,99,4,23,Punjab
1,12-Jun-20,PY,6,1,9,Puducherry
1,12-Jun-20,RJ,230,7,236,Rajasthan
1,12-Jun-20,SK,50,0,0,Sikkim
1,12-Jun-20,TG,164,9,285,Telangana
1,12-Jun-20,TN,1982,18,1342,Tamil Nadu
